Skill ID Number,Dive Number,Skill Name,Skill Type,Skill Description,Skill Group,Skill Training Points,Skill Difficulty,Skill Rating,Skill Video,Skill Pictures
,,Hurdle Progression 4,1M,,,,,,,
,,Hurdle Progression 5,1M,,,,,,,
,,Hurdle Progression 6,1M,,,,,,,
,,Hurdle Progression 7,1M,,,,,,,
,,Hurdle Progression 8,1M,,,,,,,
,,401 B*,1M,,,,,,,
,,5122 D Forward 1 Somersault 1 Twist Free,1M,,,,,,,
,,104C Forward 2 Somersault Tuck,1M,,,,,,,
,,203C Back 1 1/2 Somersault Tuck,1M,,,,,,,
,,403C Inward 1 1/2 Somersault Tuck,1M,,,,,,,
,,"5221D Back 1 Somersault, 1/2 Twist Free",1M,,,,,,,
,,"5223D Back 1 Somersault, 1 1/2 Twist Free",1M,,,,,,,
,,104B Forward 2 Somersaults Pike,1M,,,,,,,
,,303C Reverse 1 1/2 Somersault Tuck,1M,,,,,,,
,,105C Forward 2 1/2 Somersault Tuck,1M,,,,,,,
,,203B Back 1 1/2 Somersault Pike,1M,,,,,,,
,,Forward jump from 3 M - Straight No Armswing,3M,,,,,,,
,,Forward jump from 3 M - Tuck No Armswing,3M,,,,,,,
,,Forward jump from 3 M - Pike No Armswing,3M,,,,,,,
,,Forward jump from 3 M - Straight With Armswing,3M,,,,,,,
,,Forward jump from 3 M - Tuck With Armswing,3M,,,,,,,
,,Forward jump from 3 M - Pike With Armswing,3M,,,,,,,
,,,3M,,,,,,,
,,,3M,,,,,,,
,,Back jump from 3 M - Straight No Armswing,3M,,,,,,,
,,Back jump from 3 M - Tuck No Armswing,3M,,,,,,,
,,Back jump from 3 M - Pike No Armswing,3M,,,,,,,
,,Back jump from 3 M - Straight With Armswing,3M,,,,,,,
,,Back jump from 3 M - Tuck With Armswing,3M,,,,,,,
,,Back jump from 3 M - Pike With Armswing,3M,,,,,,,
,,,3M,,,,,,,
,,1 Step Forward Hurdle to front jump 3 M Straight,3M,,,,,,,
,,1 Step Forward Hurdle to front jump 3 M Tuck,3M,,,,,,,
,,1 Step Forward Hurdle to front jump 3 M Pike,3M,,,,,,,
,,,3M,,,,,,,
,001A,Forward Line up 3M Straight,3M,,,,,,,
,001B,Forward Line up 3M Pike,3M,,,,,,,
,001C,Forward Line up 3M Tuck,3M,,,,,,,
,,,3M,,,,,,,
,,,3M,,,,,,,
